brand type,km,ownerno,oem,model,modelyear,price,registration year,insurance validity,fuel type,seats,transmission,year of manufacture,displacement,no of cylinder,values per cylinder,turbo charger,super charger,length,width,height,gear box,drive type,steering type,turning radius,tyre type,no door numbers,city
suv,120000,2,ford,ford endeavour,2017,1900000,2017,third party,diesel,7,manual,2017,2198,4,4,yes,no,4892,1860,1837,6,4wd,power,5.15,tubeless radial,5,chennai
hatchback,90142,1,hyundai,hyundai grand i10,2017,522000,2017,comprehensive,petrol,5,manual,2017,1197,4,4,no,no,3765,1660,1520,5,fwd,power,4.8,tubeless,5,chennai
hatchback,150000,1,hyundai,hyundai i20,2015,500000,2015,third party,petrol,5,manual,2015,1197,4,4,no,no,3985,1734,1505,5,fwd,power,5.2,tubeless,5,chennai
hatchback,33256,1,ford,ford freestyle,2018,627000,2018,comprehensive,petrol,5,manual,2018,1194,3,4,no,no,3954,1737,1570,5,fwd,power,5.0,tubeless,5,chennai
hatchback,70027,1,maruti,maruti baleno,2018,687000,2018,comprehensive,petrol,5,automatic,2018,1197,4,4,no,no,3995,1745,1510,c,fwd,power,4.9,tubeless radial,5,chennai
sedan,120000,3,hyundai,hyundai sonata,2007,204999,2007,third party,diesel,5,manual,2007,1991,4,4,no,no,4800,1832,1485,6,fwd,power,5.46,tubeless radial,4,chennai
hatchback,60000,2,volkswagen,volkswagen polo,2015,525000,2015,third party,petrol,5,manual,2015,1199,3,4,no,no,3971,1682,1469,5,fwd,power,4.97,tubeless radial,5,chennai
hatchback,73686,1,maruti,maruti swift,2017,620000,2017,third party,diesel,5,manual,2017,1248,4,4,yes,no,3840,1735,1530,5,fwd,power,4.8,tubeless,5,chennai
suv,44000,2,mahindra,mahindra tuv 300,2018,825000,2018,comprehensive,diesel,7,manual,2018,1493,3,2,yes,no,3995,1835,1826,5,rwd,power,5.35,tubeless radial,5,chennai
hatchback,75581,1,maruti,maruti swift,2015,530000,2016,comprehensive,petrol,5,manual,2015,1197,4,4,no,no,3840,1735,1530,5,fwd,electric,4.83,tubeless,5,chennai
suv,58000,1,mercedes-benz,mercedes-benz m-class,2015,3600000,2016,comprehensive,diesel,5,automatic,2015,2143,4,4,yes,no,4817,2141,1762,7,awd,power,5.9,tubeless radial,5,chennai
sedan,50000,2,audi,audi a3,2015,1950000,2015,comprehensive,diesel,5,automatic,2015,1968,4,4,yes,no,4456,1960,1416,6,fwd,power,5.35,tubeless radial,4,chennai
suv,100000,1,mahindra,mahindra tuv 300,2015,650000,2015,third party,diesel,7,manual,2015,1493,3,2,yes,no,3995,1835,1826,5,rwd,power,5.35,tubeless radial,5,chennai
sedan,108902,1,maruti,maruti ciaz,2017,650000,2017,third party,diesel,5,manual,2017,1248,4,4,yes,no,4490,1730,1485,5,fwd,power,5.4,tubeless radial,4,chennai
sedan,100425,1,volkswagen,volkswagen ameo,2016,570000,2016,comprehensive,diesel,5,manual,2016,1498,4,4,yes,no,3995,1682,1483,5,fwd,power,5.11,tubeless radial,4,chennai
